,Holt_Winter
1600,28.672586414243106
1601,28.796899829177647
1602,28.21871930861667
1603,37.33847120076773
1604,38.37769640814626
1605,30.0951461942969
1606,23.884037786716046
1607,24.39059640954742
1608,25.93697860573127
1609,28.674488211990983
1610,29.531180776501444
1611,35.66867383369543
1612,37.40373620158246
1613,29.33974774118823
1614,25.462940913189104
1615,23.470302448517394
1616,20.107134486776875
1617,23.5719875645398
1618,29.9644797038276
1619,31.99748223690602
1620,35.339399440888066
1621,34.61510028973363
1622,25.557776612465737
1623,35.77901252196735
1624,29.581678982434553
1625,20.877800621137094
1626,16.005568171465978
1627,21.346528976258007
1628,19.399163524872595
1629,17.74184609017016
1630,17.415622738723975
1631,17.52783387987731
1632,23.3213930984211
1633,24.95617354686896
1634,23.847698999521267
1635,22.992271463306903
1636,22.44086814483826
1637,24.25949087411026
1638,21.392766316021923
1639,19.417794768907108
1640,16.90130203548195
1641,21.006539141863442
1642,17.149929803645303
1643,19.807741764348176
1644,23.624989922393254
1645,20.07537897265935
1646,17.6964903416934
1647,20.36686257917738
1648,18.906663162403827
1649,21.149792758838014
1650,22.288664460385515
1651,20.084692650107527
1652,21.007304720089063
1653,26.133480250370923
1654,21.054971958249137
1655,18.625913486066903
1656,21.052735183987796
1657,22.386266401535682
1658,27.720886971969172
1659,28.40442217165966
1660,28.449246227164668
1661,20.673769702182327
1662,25.632613085103603
1663,34.44469785126836
1664,33.520862412412185
1665,30.55206884146177
1666,24.96518969878895
1667,24.87594077976555
1668,29.58471465329504
1669,29.288131900138488
1670,25.824736417799798
1671,28.243831774414556
1672,27.07759304623621
1673,29.205340161299016
1674,26.648940371681388
1675,19.827431805196404
1676,20.07311995421825
1677,27.078649928405014
1678,21.993813394473428
1679,17.829188819527314
1680,18.342928481001557
1681,19.455811826867404
1682,17.90677584971234
1683,18.25109310684919
1684,20.864832051702287
1685,13.241388928557548
1686,14.524012818164422
1687,14.440072583212004
1688,18.337573663397006
1689,21.594357223925453
1690,26.58076112647936
1691,26.914680666956176
1692,22.321252854150973
1693,24.798172928852985
1694,27.787929331478978
1695,22.987485057332254
1696,15.471285233292175
1697,19.573927684455896
1698,24.377853091143034
1699,24.490569338145512
1700,20.80220503509648
1701,13.435443206693371
1702,16.555215451357125
1703,22.62645603928732
1704,22.922169630100008
1705,23.17405738542694
1706,21.505136385987
1707,22.470049535899445
1708,25.289119080250998
1709,25.43843583215558
1710,20.024585790187697
1711,18.457196970665272
1712,26.299348133255226
1713,23.924824741401938
1714,27.82817851623827
1715,23.74558177817107
1716,26.22976381095941
1717,26.828971454575044
1718,28.23401310851675
1719,28.474318805781245
1720,26.689713589326388
1721,27.849434511475472
1722,31.93659376930327
1723,27.68221322718484
1724,27.29717768647502
1725,31.62443381771811
1726,27.099695046895487
1727,31.628040583082637
1728,41.24150265570968
1729,41.41374341048411
1730,44.577493471260105
1731,40.071708808341214
1732,37.760843472734194
1733,44.33306108399083
1734,37.88847058735304
1735,38.603204333095455
1736,31.719120291202096
1737,31.5881542259608
1738,32.2669448614305
1739,32.153707162647635
1740,32.53707996481608
1741,38.62051410178452
1742,34.82826763625225
1743,28.435755942727766
1744,35.54713688814169
1745,38.07212643597926
1746,38.42947954216451
1747,29.707631362998534
1748,35.590379795568516
1749,45.2064962539131
1750,50.08590287288902
1751,52.37238063595746
1752,56.07724978720067
1753,58.076329262665496
1754,67.77016979984046
1755,57.96778582834878
1756,46.66863367277979
1757,36.85090244226621
1758,34.10800412829403
1759,49.75691004893844
1760,44.13524838312426
1761,29.52648873872263
1762,31.049177163380044
1763,42.907219764721745
1764,40.05962680595849
1765,42.11437886187387
1766,43.31882873664735
1767,38.227680996777934
1768,36.236557599943275
1769,55.064035392849604
1770,59.67924995852722
1771,44.55060985606691
1772,27.614228959234794
1773,37.930788061771175
1774,45.03880908547682
1775,52.64692574424503
1776,42.54667456256116
1777,38.818162480149
1778,52.59163591141381
1779,45.25163964300407
1780,61.071527723051204
1781,59.74209647018289
1782,50.905374612248536
1783,51.97971837974608
1784,54.43005454918719
1785,56.61867006903878
1786,44.737666944359496
1787,54.07736651388081
1788,64.02839010487664
1789,63.34945222704879
1790,49.838030161911604
1791,49.04421384554766
1792,53.450938146968745
1793,62.73625712199649
1794,50.85488061563725
1795,46.400569663722
1796,52.82983360874295
1797,45.945413066239794
1798,46.73068555282518
1799,64.04553316330701
1800,55.366769923461035
1801,57.06583060586951
1802,70.43398188744655
1803,85.8588866931678
1804,84.03553414085678
1805,66.80417896170157
1806,83.32725681431184
1807,55.93830940067239
1808,72.48277926172705
1809,90.03250735224711
1810,63.739097208326264
1811,60.42600002435469
1812,66.50132421966379
1813,76.64012997480916
1814,98.79129714470733
1815,106.59656355273572
1816,114.00407097041634
1817,115.44736977930391
1818,104.06088156302735
1819,61.30098255933345
1820,62.35430875187646
1821,70.8374640185715
1822,74.43164614503357
1823,58.36144165282256
1824,49.04624589767963
1825,57.82020583034107
1826,57.298133057446705
1827,70.42268470035236
1828,70.12751346474968
1829,69.4138380312179
1830,80.40702461367017
1831,87.36956055833046
1832,72.87948117209088
1833,59.526696216293686
1834,66.56961382769636
1835,90.747596546278
1836,101.22251000622595
1837,109.36076947124866
1838,114.29093121214504
1839,85.35570209977595
1840,77.71680665744015
1841,81.51331438990601
1842,84.77321915209892
1843,95.56409442669896
1844,84.4430646793952
1845,79.60223906719446
1846,87.99857797080057
1847,75.6917053717822
1848,69.85925258672114
1849,97.02204471905496
1850,92.56343690245076
1851,103.34850046148875
1852,89.7099930962845
1854,80.05565942616437
1855,70.4490338187293
1856,61.385455863245895
1857,84.33905071127606
1858,93.0281124400811
1859,63.68700987997149
1860,52.68610265713947
1861,61.07073636712022
1862,58.80681312589855
